09:29:10.405160 at node: 1 scheduled
09:31:10.407614 at node: 1
09:31:10.450176 at node: 5
09:31:10.924202 at node: 64
09:31:14.131958 at node: 9
09:31:14.388650 at node: 63
09:31:14.864780 at node: 4
09:31:15.388489 at node: 62
09:31:15.670354 at node: 13
09:31:17.592175 at node: 8
09:31:17.878679 at node: 3
09:31:18.185610 at node: 12
09:31:18.434791 at node: 2
09:31:18.856401 at node: 61
09:31:22.450666 at node: 60
09:31:22.584940 at node: 7
09:31:22.864084 at node: 11
09:31:24.463053 at node: 6
09:31:24.463559 at node: 59
09:31:25.886245 at node: 10
09:31:29.250639 at node: 58
09:31:29.694464 at node: 57
09:31:31.2825 at node: 56
09:31:32.312053 at node: 55
09:31:35.877671 at node: 54
09:31:37.390595 at node: 53
09:31:40.546341 at node: 52
09:31:42.221413 at node: 51
09:31:44.561864 at node: 50
09:31:47.689801 at node: 49
09:31:50.919758 at node: 48
09:31:51.138333 at node: 47
09:31:52.493381 at node: 46
09:31:56.931610 at node: 45
09:31:59.796667 at node: 44
09:32:04.208786 at node: 43
09:32:05.331243 at node: 42
09:32:07.278058 at node: 41
09:32:08.522984 at node: 40
09:32:10.803619 at node: 39
09:32:11.55678 at node: 38
09:32:12.155692 at node: 37
09:32:16.424768 at node: 36
09:32:21.365163 at node: 35
09:32:24.413018 at node: 34
09:32:26.368915 at node: 33
09:32:28.526907 at node: 32
09:32:30.810852 at node: 31
09:32:34.811984 at node: 30
09:32:34.885547 at node: 29
09:32:37.959630 at node: 28
09:32:40.490266 at node: 27
09:32:41.308917 at node: 26
09:32:45.311295 at node: 25
09:32:47.717357 at node: 24
09:32:52.700304 at node: 23
09:32:54.304415 at node: 22
09:32:55.726693 at node: 21
09:32:58.278327 at node: 20
09:33:03.229905 at node: 19
09:33:04.318724 at node: 18
09:33:05.409721 at node: 17
09:33:05.810903 at node: 16
09:33:08.403041 at node: 15
09:33:09.951601 at node: 14
